iter	RMSE
0	0.3608060268
1	0.3427793973
2	0.3221879589
3	0.3030682334
4	0.2870049302
5	0.2731306973
6	0.2598886683
7	0.2477968188
8	0.2361182645
9	0.2260968682
10	0.2169367007
11	0.2095560162
12	0.202943262
13	0.1963035912
14	0.1895234244
15	0.1843633463
16	0.1790305835
17	0.174746864
18	0.1701007238
19	0.1656701532
20	0.1619787504
21	0.1587339423
22	0.1561190663
23	0.1532420708
24	0.150437399
25	0.148554456
26	0.146189949
27	0.1433650369
28	0.1411240214
29	0.1390536586
30	0.1375651167
31	0.135829284
32	0.1344047803
33	0.1325937023
34	0.1311717486
35	0.1299438015
36	0.1284335501
37	0.1272062129
38	0.1259249781
39	0.1249292426
40	0.1237510568
41	0.1225217864
42	0.1214661702
43	0.1208703865
44	0.1201154466
45	0.1190645653
46	0.1182995777
47	0.1175651714
48	0.1168741371
49	0.1159597977
50	0.1152460657
51	0.1146590944
52	0.1141456277
53	0.1135170595
54	0.1132868446
55	0.11272939
56	0.1122144853
57	0.1116301907
58	0.1111915217
59	0.1108250232
60	0.1103394412
61	0.1099095556
62	0.1094352396
63	0.1092591952
64	0.1089978237
65	0.1084896483
66	0.108195559
67	0.1077836132
68	0.1073138132
69	0.1069215256
70	0.1063895631
71	0.1058022103
72	0.1053131954
73	0.1048608502
74	0.104476328
75	0.1043027986
76	0.1039782612
77	0.1037174688
78	0.103347724
79	0.103060177
80	0.102719066
81	0.1025564247
82	0.10219112
83	0.1017831768
84	0.1016284573
85	0.1013116648
86	0.1009808985
87	0.1006155169
88	0.1004745526
89	0.1001710717
90	0.09988005476
91	0.09979744395
92	0.09915082677
93	0.09880502503
94	0.09866445043
95	0.09834361039
96	0.09792301656
97	0.09779637559
98	0.09747965532
99	0.0972461613
100	0.0970346368
101	0.09675770787
102	0.09639624815
103	0.09604879013
104	0.09571990614
105	0.09559956139
106	0.09523848059
107	0.09507704506
108	0.09483699518
109	0.09464838718
110	0.09432908732
111	0.09393171984
112	0.09354154963
113	0.09329800567
114	0.09317061297
115	0.09287674368
116	0.09270248563
117	0.0924794233
118	0.09220519271
119	0.09212996986
120	0.09192815526
121	0.09168868117
122	0.09142650246
123	0.09117441567
124	0.09082436974
125	0.09056059082
126	0.09045240984
127	0.09006470539
128	0.08982567928
129	0.08959909109
130	0.0893632768
131	0.08928609531
132	0.08912125733
133	0.08905925276
134	0.08891543352
135	0.08876591081
136	0.08851734462
137	0.08820964526
138	0.08810857529
139	0.08784269893
140	0.08744888294
141	0.08714430794
142	0.08688908018
143	0.0868340064
144	0.08671333449
145	0.08652257449
146	0.08632630535
147	0.08616205899
148	0.08592669293
149	0.08560499162
150	0.08535692503
151	0.08515070759
152	0.08496244418
153	0.08484197982
154	0.08457922573
155	0.08437805835
156	0.08412998962
157	0.08385577829
158	0.08367100956
159	0.08362951823
160	0.08359052814
161	0.08348541061
162	0.08323014185
163	0.08298302391
164	0.08276571811
165	0.08255778898
166	0.08240571531
167	0.08220837204
168	0.08210184413
169	0.08194459452
170	0.0817805969
171	0.08158655553
172	0.08135516758
173	0.08131394303
174	0.08110411598
175	0.08093739729
176	0.08075406799
177	0.0806066349
178	0.08049645355
179	0.08038860597
180	0.08009570141
181	0.08004340594
182	0.07987240238
183	0.07956821424
184	0.07940704348
185	0.07923060793
186	0.07918910401
187	0.0789880791
188	0.07887634233
189	0.07877736141
190	0.07865545674
191	0.07845791193
192	0.07816886003
193	0.07799062528
194	0.07780250128
195	0.07760549542
196	0.07757462211
197	0.07738695763
198	0.07720853115
199	0.07699470791
200	0.07680848795
201	0.07677944525
202	0.07669971159
203	0.07658446207
204	0.0765574646
205	0.07639839943
206	0.07634450716
207	0.07620024746
208	0.07599289862
209	0.07596754782
210	0.07594372553
211	0.07585537103
212	0.07570898143
213	0.07567650593
214	0.07552569689
215	0.07535301469
216	0.07518110246
217	0.0750122918
218	0.07489005477
219	0.07486478772
220	0.07463096092
221	0.07444225664
222	0.07427442844
223	0.0742498719
224	0.07412965457
225	0.07401274977
226	0.07399240681
227	0.07386495389
228	0.07368334642
229	0.07353914545
230	0.07327572389
231	0.073124765
232	0.07299036096
233	0.07279097252
234	0.07251522612
235	0.07228674756
236	0.07220626921
237	0.07204268483
238	0.07182839622
239	0.07169483509
240	0.07161515552
241	0.07139341921
242	0.07121986569
243	0.07109114098
244	0.07105950442
245	0.07091470245
246	0.07073649262
247	0.07052263566
248	0.07036701392
249	0.07022707611
250	0.07008800199
251	0.07007044556
252	0.06988067042
253	0.06981079174
254	0.0697476764
255	0.06963100497
256	0.06945599455
257	0.06921470012
258	0.06908912262
259	0.06896720748
260	0.06874573263
261	0.06864569775
262	0.06862758638
263	0.06851920597
264	0.06839309384
265	0.06837282977
266	0.06820625793
267	0.06796078277
268	0.06779900575
269	0.06768556309
270	0.06750708546
271	0.06743061729
272	0.06730140921
273	0.06713674439
274	0.06711958602
275	0.06692360569
276	0.06673920976
277	0.0666328785
278	0.0664700143
279	0.06625327801
280	0.06610945935
281	0.06602670392
282	0.06600904694
283	0.06599410266
284	0.06580076106
285	0.06565817658
286	0.06558057265
287	0.06547996116
288	0.06531576344
289	0.06522338485
290	0.06507579798
291	0.06494694374
292	0.06473349829
